Time,BTC,ETH,BCH,XMR,DASH,BTC_volume,ETH_volume,BCH_volume,XMR_volume,DASH_volume
02/02/21 12:00 AM,33497.16,1375.65,413.12,143.77,105.0478881,10112772.3413241,8249404.03754961,23218744.3142262,27927981.900028,2119911.05767433
02/02/21 01:00 AM,33740.44,1381.34,415.72,144.54,103.84010559,6058662.50322111,2371954.72053556,12714889.1072625,1782352.9740996,1090713.11755441
02/02/21 02:00 AM,33768.36,1382.47,418.25,143.64,105.62,3460812.9755269,3464471.3710179,59899854.4419489,5008782.2548345,1801677.1947994
02/02/21 03:00 AM,33689.87,1374.67,414.11,143.39,106.70949887,3931241.32526496,3348671.99095626,14476201.5097655,18022761.6093864,4714232.57777516
02/02/21 04:00 AM,33586.68,1370.07,412.37,144.89,107.09203927,4918986.99673648,2536146.84826437,3995105.49055119,2889291.7421984,222123.939090259
02/02/21 05:00 AM,33903.27,1382.39,414.92,145.75,105.88398451,6145761.31484668,1723319.51751574,29928372.7164525,4766665.2408447,2804667.09376987
02/02/21 06:00 AM,34035.14,1389.34,416.6,144.98,105.97587948,7590596.29720176,8072342.07873975,9004786.09420401,3991670.4797868,0
02/02/21 07:00 AM,34330.93,1409.23,415.65,146.66,105.79223579,12584952.5130498,10142525.7345971,30848873.964432,30516104.034648,1200010.28799457
02/02/21 08:00 AM,34240.85,1418.31,422.26,146.38,105.94454765,11635336.1431715,13218668.858903,61822431.3554796,8747652.3095598,642156.252775096
02/02/21 09:00 AM,34694.53,1453.97,423.14,144.86,107.13797536,31391960.2693573,9905758.5974854,56231507.054481,16598004.4206365,0
02/02/21 10:00 AM,35341.02,1437.83,426.49,146.95,106.53132712,15063201.2465601,10089565.9480656,38631798.0894691,8877982.1464002,320803.981218441
02/02/21 11:00 AM,35183.46,1440.96,426.7,145.36,106.62953932,11122963.0575321,6064954.42873456,56993265.1325229,4167535.5820365,25324.8258804594
02/02/21 12:00 PM,34740.49,1420.21,421.45,144.4,106.85707721,10912452.5208224,3738080.5427718,20616519.6225668,12119138.5740273,7904069.82785759
02/02/21 01:00 PM,34800.88,1426.67,423.45,145,107.4110198,14150114.6364884,3178422.95718593,66881833.6069401,17298555.796653,2270129.27297713
02/02/21 02:00 PM,34852.5,1427.98,426.05,147.2,106.80592198,12189546.3803068,8519333.22297952,6314376.2833773,7264183.594196,3637040.92536104
02/02/21 03:00 PM,34827.61,1431.95,424.13,146.74,107.37528523,13939896.977508,6259512.89099212,35277090.7113324,32774063.1129756,601776.196048717
02/02/21 04:00 PM,34739.65,1430.38,425.44,147.26,107.37528523,11238688.6292024,17511475.8377191,45359181.9339018,10238056.5505176,0
02/02/21 05:00 PM,35015.91,1497,430.29,147.15,107.09750339,5160548.7874175,8810149.25709357,27862779.7068705,17573431.264775,1746199.73731303
02/02/21 06:00 PM,34862.73,1473.94,427.15,147.06,106.85,14566295.0084809,8274219.24315227,17981502.905367,22576906.4256822,2318167.5952685
02/02/21 07:00 PM,35313.95,1492.25,427.16,148.13,107.24512071,17337992.2581328,11393108.0437915,15274531.2516432,14943563.3871124,280191.610592582
02/02/21 08:00 PM,35801.23,1517.3,429.42,148.38,108.20228486,11762627.2449938,17702460.197326,34930892.7346261,18328900.7609666,3248876.63530119
02/02/21 09:00 PM,35838.87,1534.04,429.88,148.91,107.81060993,6105860.40442887,6399557.33121311,60459292.0914653,11434980.1586352,4005830.9826154
02/02/21 10:00 PM,35667.11,1522.54,427.35,149.64,108.38321261,6342149.00353655,7677238.7233094,15246509.0120219,101757921.204212,3226071.60475905
02/02/21 11:00 PM,35603.66,1536.71,431.78,150.72,109.37410197,4443492.20483217,5784593.21806583,20916256.0532865,21913939.416228,5101500.37988738
